                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.91559,                0.82722,                 1.1927,                0.58166,                0.32157,                0.38453,                0.20844,                 1.6387,                 1.7331,                 1.7053,               0.000128,               0.000128,               0.000128
                    138,                0.86138,                  0.811,                 1.1621,                0.56954,                0.32157,                0.37422,                0.19954,                 1.6245,                 1.7161,                 1.7075,             0.00011975,             0.00011975,             0.00011975
                    139,                0.86825,                0.81943,                 1.1938,                0.53009,                0.32157,                0.37269,                0.19694,                 1.6289,                 1.7028,                 1.7107,              0.0001115,              0.0001115,              0.0001115
                    140,                0.88762,                0.82648,                 1.1749,                0.53896,                0.32157,                0.38657,                 0.2028,                 1.6306,                 1.7207,                  1.706,             0.00010325,             0.00010325,             0.00010325
                    141,                0.85708,                0.81666,                 1.1605,                 0.6003,                0.30964,                0.40183,                0.20524,                 1.6245,                 1.6265,                 1.7055,                9.5e-05,                9.5e-05,                9.5e-05
                    142,                0.86203,                0.78981,                 1.1623,                0.41998,                0.41591,                 0.3985,                0.19711,                 1.6307,                 1.6183,                 1.7211,              8.675e-05,              8.675e-05,              8.675e-05
                    143,                0.84805,                0.74285,                 1.1484,                0.40601,                0.44127,                0.39278,                0.19774,                 1.6394,                 1.6179,                 1.7346,               7.85e-05,               7.85e-05,               7.85e-05
                    144,                0.82984,                0.74832,                 1.1541,                0.42532,                0.44057,                0.40372,                0.20543,                 1.6548,                 1.6142,                  1.749,              7.025e-05,              7.025e-05,              7.025e-05
                    145,                0.77381,                0.69462,                 1.1092,                0.44409,                0.44811,                0.40068,                0.20578,                 1.6544,                 1.6322,                 1.7505,                6.2e-05,                6.2e-05,                6.2e-05
                    146,                 0.8103,                0.70241,                 1.1297,                0.47216,                 0.4275,                0.39176,                0.20329,                 1.6508,                  1.659,                 1.7508,              5.375e-05,              5.375e-05,              5.375e-05
                    147,                0.82426,                0.71269,                 1.1434,                0.49857,                0.33095,                0.36755,                 0.1984,                 1.6493,                 1.6719,                 1.7504,               4.55e-05,               4.55e-05,               4.55e-05
